GEOID,n
13013180103,3
13013180106,1
13013180204,1
13015960401,1
13045910101,1
13045910103,1
13045910703,1
13057090400,1
13057090701,1
13057090804,3
13057090901,1
13057090902,2
13057090904,2
13057091001,1
13057091102,2
13063040203,1
13063040204,2
13063040307,2
13063040413,1
13063040514,1
13063040524,1
13063040609,1
13063040619,1
13063040621,1
13067030101,2
13067030106,3
13067030209,2
13067030215,1
13067030218,4
13067030219,4
13067030224,2
13067030228,2
13067030230,2
13067030233,1
13067030311,1
13067030312,3
13067030313,2
13067030314,5
13067030318,8
13067030319,1
13067030320,7
13067030326,2
13067030331,1
13067030336,4
13067030339,1
13067030340,4
13067030343,1
13067030344,4
13067030345,1
13067030405,1
13067030407,1
13067030408,1
13067030413,1
13067030502,1
13067030504,1
13067030505,5
13067030601,1
13067030602,3
13067030700,1
13067030901,2
13067030904,1
13067031002,1
13067031108,1
13067031110,1
13067031111,4
13067031114,1
13067031115,1
13067031117,1
13067031118,2
13067031206,8
13067031207,24
13067031208,4
13067031209,4
13067031211,4
13067031212,1
13067031306,1
13067031307,1
13067031311,1
13067031312,3
13067031313,5
13067031505,1
13067031509,1
13077170200,1
13077170303,3
13077170305,2
13077170306,1
13077170404,2
13077170405,1
13077170601,1
13077170700,1
13085970201,1
13089020100,10
13089020200,1
13089020300,2
13089020400,10
13089020500,6
13089020600,3
13089020700,2
13089020801,1
13089020802,1
13089020900,12
13089021101,3
13089021102,21
13089021202,5
13089021208,2
13089021209,12
13089021210,2
13089021211,2
13089021214,1
13089021215,7
13089021216,11
13089021217,4
13089021218,9
13089021301,2
13089021305,2
13089021306,2
13089021405,4
13089021409,1
13089021410,4
13089021411,3
13089021412,2
13089021413,1
13089021414,5
13089021415,6
13089021416,3
13089021417,3
13089021502,12
13089021503,3
13089021504,9
13089021602,4
13089021603,13
13089021604,6
13089021605,8
13089021703,1
13089021705,4
13089021706,3
13089021806,2
13089021810,6
13089021812,2
13089021814,2
13089021907,1
13089021908,1
13089021910,1
13089021912,5
13089022001,2
13089022004,2
13089022005,3
13089022007,1
13089022009,1
13089022203,5
13089022204,3
13089022301,2
13089022302,3
