GEOID,n
27003050115,1
27003050208,2
27003050215,2
27003050216,2
27003050222,1
27003050226,1
27003050229,2
27003050235,2
27003050237,1
27003050401,1
27003050504,1
27003050606,1
27003050608,1
27003050704,1
27003050707,1
27003050710,1
27003050809,1
27003050813,1
27003050816,1
27003050818,2
27003050820,1
27003050821,2
27003051201,1
27003051202,1
27003051304,1
27003051400,2
27019090100,1
27019090302,1
27019090401,1
27019090402,3
27019090502,2
27019090601,1
27019090701,3
27019090800,1
27019091201,1
27025110302,2
27037060102,2
27037060202,2
27037060402,1
27037060603,1
27037060709,1
27037060711,1
27037060714,1
27037060717,2
27037060721,1
27037060725,1
27037060728,1
27037060730,2
27037060731,4
27037060733,1
27037060734,2
27037060741,1
27037060744,2
27037060745,4
27037060746,1
27037060749,1
27037060750,3
27037060805,3
27037060806,3
27037060814,2
27037060816,1
27037060817,1
27037060818,1
27037060823,1
27037060825,2
27037060826,1
27037060828,3
27037061003,1
27037061004,4
27053000300,3
27053000603,1
27053001100,1
27053001700,1
27053002400,5
27053003800,11
27053006800,9
27053007700,38
27053008100,5
27053008200,3
27053008400,1
27053008500,1
27053009600,4
27053010600,5
27053010700,6
27053011000,2
27053011703,1
27053011704,1
27053011800,2
27053011998,3
27053012001,4
27053012101,1
27053020102,2
27053020303,2
27053020304,1
27053020600,1
27053020700,1
27053020903,1
27053021200,1
27053021300,1
27053021400,11
27053021502,2
27053021505,1
27053021601,9
27053021602,5
27053021700,6
27053021800,4
27053021900,8
27053022000,5
27053022101,3
27053022102,2
27053022200,3
27053022301,2
27053022302,3
27053022400,1
27053022700,10
27053022801,1
27053022802,8
27053022901,30
27053022902,2
27053023000,15
27053023100,1
27053023200,2
27053023300,2
27053023400,4
27053023501,1
27053023502,8
27053023600,6
27053023801,3
27053023802,1
27053023902,3
27053023903,2
27053024003,2
27053024006,4
27053024100,4
27053024200,1
27053024400,1
27053024500,2
27053024600,2
27053024901,1
27053025403,1
27053025701,1
27053025801,1
27053025805,1
27053025906,1
27053025907,3
27053026005,1
27053026007,2
27053026013,3
27053026014,3
27053026015,5
27053026016,2
27053026018,3
27053026019,6
27053026020,3
27053026021,1
27053026022,5
27053026101,1
27053026103,1
27053026104,3
27053026202,1
27053026207,5
27053026301,5
27053026402,8
27053026403,2
27053026404,2
27053026505,2
27053026507,2
27053026508,4
27053026509,3
27053026510,2
27053026512,3
27053026514,1
27053026605,2
27053026606,4
27053026611,2
27053026612,8
27053026613,1
27053026706,1
27053026708,1
27053026710,4
27053026712,1
27053026713,1
27053026714,5
27053026715,3
27053026716,1
27053026810,1
27053026812,2
27053026818,1
27053026907,1
27053026910,3
27053027002,1
27053027101,2
27053027201,4
27053027203,6
27053027300,1
27053027400,4
27053027501,7
27053027503,1
27053027504,7
27053027601,4
27053027602,2
27053100200,2
27053100500,2
27053100800,3
27053101200,3
27053101800,3
27053101900,3
27053102000,1
27053102100,1
27053102300,6
27053102500,2
27053102800,1
27053103000,1
27053103100,1
27053103400,1
27053103600,15
27053103700,11
27053103900,1
27053104000,5
27053104100,1
27053104400,19
27053104800,2
27053104900,6
27053105100,5
27053105201,15
27053105204,23
27053105400,13
27053105500,11
27053105600,12
27053105700,4
27053106200,1
27053106400,1
27053106500,18
27053106600,5
27053106700,8
27053106900,7
27053107000,2
27053107400,3
27053107600,2
27053108000,26
27053108600,1
27053108700,2
27053108800,4
27053108900,1
27053109100,21
27053109200,10
27053109300,5
27053109400,1
27053109700,1
27053109800,3
27053109900,6
27053110100,1
27053110200,6
27053110400,4
27053110500,15
27053110800,7
27053110900,10
27053111100,7
27053111200,3
27053111300,4
27053111400,4
27053111500,7
27053111600,3
27053122500,3
27053122600,1
27053125600,1
27053125800,3
27053125900,1
27053126100,113
27053126200,141
27059130100,1
27059130301,3
27059130501,1
27095170500,1
27123030100,1
27123030201,2
27123030202,1
27123030703,1
27123030704,2
27123031200,1
27123031900,5
27123032100,2
27123032300,2
27123032400,1
27123033200,7
27123033300,2
27123033400,1
27123033800,1
27123033900,1
27123034201,8
27123034400,1
27123034602,1
27123034900,2
27123035000,1
27123035100,1
27123035200,2
27123035300,2
27123035500,2
27123035700,3
27123035800,7
27123036000,3
27123036500,2
27123036700,4
27123037601,2
27123037602,3
27123040401,2
27123040504,1
27123040601,7
27123040603,1
27123040704,3
27123040705,1
27123040706,1
27123040707,3
27123040801,2
27123041103,1
27123041107,2
27123041200,7
27123041400,1
27123041500,1
27123041700,2
27123041800,2
27123041900,1
27123042001,3
27123042002,3
27123042101,1
27123042202,3
27123042301,3
27123042402,1
27123042503,1
27123042602,1
27123042900,2
27123043000,7
27131070200,1
27139080201,1
27139080203,2
27139080205,2
27139080301,1
27139080302,3
27139080903,3
27139080905,2
27139080906,2
27139081000,2
27139081300,1
27141030402,3
27141030504,1
27141031500,1
27163070105,1
27163070205,1
27163070304,2
27163070403,1
27163070405,1
27163070502,1
27163070601,1
27163070602,1
27163070701,1
27163070907,1
27163070910,1
27163071006,3
27163071010,2
27163071015,1
27163071016,2
27163071017,4
27163071206,1
27163071207,2
27163071208,2
27163071209,1
27163071400,4
27171100204,1
27171100400,1
27171100703,1
27171101000,1
55109120400,3
